staff_id,npi,first_name,last_name,job_code,job_title,credential,primary_facility_id,primary_unit_id,employment_type,fte,hire_date,termination_date,is_active
STF000029,,Mark,Cabrera,CNA,Certified Nursing Assistant,CNA,330101,330101-MS,1,1.0,2023-10-03,,1
STF000030,1406498736,Gina,Jennings,NP,Nurse Practitioner,NP,330101,330101-PP,2,1.0,2022-09-29,,1
STF000031,1383263537,Alison,Davis,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2025-01-08,,1
STF000032,,Ashley,Jones,CNA,Certified Nursing Assistant,CNA,330101,330101-ED,1,1.0,2018-01-23,,1
STF000033,1182751426,Elizabeth,King,RN,Registered Nurse,RN,330101,330101-PEDS,1,0.8,2015-11-23,,1
STF000034,,Steve,Fuller,CNA,Certified Nursing Assistant,CNA,330101,330101-CVICU,1,1.0,2019-11-25,,1
STF000035,,Kelly,Whitehead,CNA,Certified Nursing Assistant,CNA,330101,330101-PEDS,1,0.8,2016-07-18,,1
STF000036,1237597140,Matthew,Cross,RN,Registered Nurse,RN,330101,330101-SICU,1,1.0,2020-02-20,,1
STF000037,1087003274,Kimberly,Brown,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2017-09-14,,1
STF000038,1243338590,Christopher,Lewis,LPN,Licensed Practical Nurse,LPN,330101,330101-ASC,1,0.6,2024-06-05,,1
STF000039,,John,Potter,CNA,Certified Nursing Assistant,CNA,330101,330101-TELE,1,0.8,2020-03-02,,1
STF000040,1653970283,Jennifer,White,RN,Registered Nurse,RN,330101,330101-SICU,1,1.0,2025-05-09,2026-01-27,0
STF000041,,Dana,Miller,RT,Respiratory Therapist,RRT,330101,330101-PSY,1,0.8,2017-03-05,,1
STF000042,1841245246,Patricia,Whitaker,RPh,Pharmacist,PharmD,330101,330101-MS,1,0.8,2024-05-09,,1
STF000043,,Carl,Alvarez,CNA,Certified Nursing Assistant,CNA,330101,330101-MS,1,0.9,2015-05-20,,1
STF000044,1712706641,William,Bradley,MD,Physician,MD,330101,330101-PSY,1,1.0,2019-03-14,,1
STF000045,1800785747,Stephen,Cooper,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2019-01-03,,1
STF000046,1528963958,Renee,Vega,RN,Registered Nurse,RN,330101,330101-PP,1,1.0,2015-06-09,,1
STF000047,1680830317,Gail,Porter,RN,Registered Nurse,RN,330101,330101-ONC,1,0.9,2025-11-19,,1
STF000048,1844670776,Rachel,Williams,RN,Registered Nurse,RN,330101,330101-ED,2,1.0,2025-05-25,,1
STF000049,,Laurie,Murphy,CNA,Certified Nursing Assistant,CNA,330101,330101-PEDS,1,1.0,2025-02-03,,1
STF000050,1830433447,Michelle,Roach,RN,Registered Nurse,RN,330101,330101-PACU,1,1.0,2017-03-26,,1
STF000051,1528557447,Susan,Mcpherson,RN,Registered Nurse,RN,330101,330101-PACU,1,0.8,2025-05-26,,1
STF000052,1888349963,Benjamin,Smith,RN,Registered Nurse,RN,330101,330101-PACU,1,1.0,2017-08-26,,1
STF000053,,Alyssa,Martinez,CNA,Certified Nursing Assistant,CNA,330101,330101-PACU,1,1.0,2021-03-05,,1
STF000054,1592350699,Christopher,Moore,RN,Registered Nurse,RN,330101,330101-LD,1,0.9,2022-09-12,,1
STF000055,1496973330,Angela,Green,RN,Registered Nurse,RN,330101,330101-PP,1,0.8,2023-10-03,,1
STF000056,1320496689,Phillip,Gutierrez,PA,Physician Assistant,PA-C,330101,330101-PP,1,1.0,2018-12-19,,1
STF000057,,Samantha,Carlson,CNA,Certified Nursing Assistant,CNA,330101,330101-PSY,1,0.8,2025-05-18,,1
STF000058,,Kenneth,Martin,CNA,Certified Nursing Assistant,CNA,330101,330101-LD,1,0.8,2019-08-15,,1
STF000059,1328705563,David,Lam,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2018-04-23,2025-08-01,0
STF000060,1762334582,Tracey,Brown,RN,Registered Nurse,RN,330101,330101-ONC,1,1.0,2024-05-23,,1
STF000061,1640811467,Manuel,Gonzalez,RN,Registered Nurse,RN,330101,330101-ONC,1,0.9,2022-09-01,,1
STF000062,,Lindsey,Barnes,UC,Unit Clerk,,330101,330101-SDU,1,1.0,2018-01-03,,1
STF000063,1083995074,Christina,Bowman,RN,Registered Nurse,RN,330101,330101-SDU,1,1.0,2025-01-10,,1
STF000064,1397966051,Makayla,Choi,RN,Registered Nurse,RN,330101,330101-ED,2,0.9,2025-02-14,,1
STF000065,,Timothy,Nichols,UC,Unit Clerk,,330101,330101-MS,1,1.0,2017-09-28,,1
STF000066,1945913533,Emily,Hill,MD,Physician,MD,330101,330101-SICU,1,1.0,2020-05-24,2026-07-18,0
STF000067,1206537033,Katie,Wood,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2023-03-13,,1
STF000068,1981063760,Deborah,Young,LPN,Licensed Practical Nurse,LPN,330101,330101-MICU,1,1.0,2017-11-11,,1
STF000069,1753869149,Samantha,Walters,RPh,Pharmacist,PharmD,330101,330101-TELE,2,0.6,2019-09-17,,1
STF000070,1544362695,Robert,Gay,RN,Registered Nurse,RN,330101,330101-ONC,1,0.8,2025-12-28,,1
STF000071,,Robert,Bright,RT,Respiratory Therapist,RRT,330101,330101-PACU,1,0.8,2026-05-11,,1
STF000072,,Kelly,Boyle,RT,Respiratory Therapist,RRT,330101,330101-OPC,1,1.0,2022-01-05,,1
STF000073,,George,Miller,RT,Respiratory Therapist,RRT,330101,330101-ONC,1,0.8,2015-07-04,,1
STF000074,,Cheryl,Ross,UC,Unit Clerk,,330101,330101-OPC,1,0.6,2023-01-03,,1
STF000075,1967597633,Mary,Farmer,RN,Registered Nurse,RN,330101,330101-ONC,1,0.8,2023-12-23,,1
STF000076,,Ronald,Middleton,CNA,Certified Nursing Assistant,CNA,330101,330101-ED,1,0.6,2026-06-23,,1
STF000077,,Stanley,Combs,CNA,Certified Nursing Assistant,CNA,330101,330101-ASC,1,1.0,2025-07-09,2025-08-13,0
STF000078,1271091249,Michael,Moore,RN,Registered Nurse,RN,330101,330101-TELE,2,1.0,2023-08-26,,1
STF000079,1101643597,Seth,Mcguire,MD,Physician,MD,330101,330101-ED,1,1.0,2019-02-05,,1
STF000080,,Jessica,Armstrong,CNA,Certified Nursing Assistant,CNA,330101,330101-SICU,1,0.6,2024-03-04,,1
STF000081,1930768259,Melissa,Cox,RN,Registered Nurse,RN,330101,330101-OPC,1,0.6,2018-12-01,,1
STF000082,,Kim,Campbell,CNA,Certified Nursing Assistant,CNA,330101,330101-MICU,1,0.9,2022-01-20,,1
STF000083,,Hannah,Calderon,CNA,Certified Nursing Assistant,CNA,330101,330101-MICU,1,0.8,2022-11-05,,1
STF000084,1556962965,Veronica,Jackson,RN,Registered Nurse,RN,330101,330101-ASC,1,0.8,2016-05-01,,1
STF000085,,Rita,Porter,CNA,Certified Nursing Assistant,CNA,330101,330101-SDU,1,1.0,2025-10-26,,1
STF000086,1594137010,Cameron,Gonzalez,MD,Physician,MD,330101,330101-OPC,1,0.9,2024-07-04,,1
STF000087,1833180480,Eugene,Williams,LPN,Licensed Practical Nurse,LPN,330101,330101-MICU,1,0.8,2025-09-14,,1
STF000088,,George,Pena,UC,Unit Clerk,,330101,330101-TELE,1,1.0,2018-03-29,,1
STF000089,1780198621,Michael,Flores,NP,Nurse Practitioner,NP,330101,330101-OPC,1,0.9,2019-02-01,,1
STF000090,,Raymond,Mooney,CNA,Certified Nursing Assistant,CNA,330101,330101-ASC,1,1.0,2023-09-16,,1
STF000091,,Samuel,Mclaughlin,CNA,Certified Nursing Assistant,CNA,330101,330101-PEDS,2,0.8,2017-10-09,,1
STF000092,1420766607,Michael,Foster,LPN,Licensed Practical Nurse,LPN,330101,330101-LD,1,1.0,2016-09-03,,1
STF000093,1246056625,Courtney,Gonzales,RN,Registered Nurse,RN,330101,330101-ED,1,0.6,2019-03-14,,1
STF000094,1594413898,Stacy,Kelly,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2021-05-23,,1
STF000095,1085190766,Brian,Huber,RN,Registered Nurse,RN,330101,330101-PP,1,1.0,2020-12-04,,1
STF000096,1273233803,Holly,Wallace,LPN,Licensed Practical Nurse,LPN,330101,330101-LD,1,0.8,2020-05-13,,1
STF000097,1937028723,Sarah,Stewart,MD,Physician,MD,330101,330101-MICU,1,0.8,2020-09-06,,1
STF000098,,Jessica,Bowman,CNA,Certified Nursing Assistant,CNA,330101,330101-PEDS,1,0.8,2025-03-15,,1
STF000099,1722160378,Brittany,Dawson,LPN,Licensed Practical Nurse,LPN,330101,330101-PEDS,1,0.8,2015-10-23,,1
STF000100,,Sherry,Foster,CNA,Certified Nursing Assistant,CNA,330101,330101-PSY,1,0.6,2016-11-19,,1
STF000101,,Sarah,Ortiz,UC,Unit Clerk,,330101,330101-PEDS,1,1.0,2016-02-27,,1
STF000102,,Karen,Turner,CNA,Certified Nursing Assistant,CNA,330101,330101-ASC,1,0.9,2023-10-20,,1
STF000103,1924159299,Brad,Mckee,MD,Physician,MD,330101,330101-PEDS,1,1.0,2016-10-16,,1
STF000104,1906286174,Linda,Simmons,RN,Registered Nurse,RN,330101,330101-ASC,1,1.0,2017-05-27,,1
STF000105,1636046701,Justin,Stephenson,RN,Registered Nurse,RN,330101,330101-ASC,1,0.6,2016-11-07,,1
STF000106,1759739845,Kimberly,Cameron,RPh,Pharmacist,PharmD,330101,330101-OPC,1,1.0,2023-10-01,,1
STF000107,1172777629,Johnny,Perez,MD,Physician,MD,330101,330101-TELE,1,0.9,2023-06-22,,1
STF000108,1040024010,John,Ruiz,RN,Registered Nurse,RN,330101,330101-LD,1,1.0,2020-10-24,,1
STF000109,,Michael,Woodward,CNA,Certified Nursing Assistant,CNA,330101,330101-PSY,1,1.0,2019-07-10,,1
STF000110,1267772785,James,Gilmore,RN,Registered Nurse,RN,330101,330101-ASC,1,1.0,2022-07-16,2026-02-28,0
STF000111,1505716995,Travis,Ruiz,RN,Registered Nurse,RN,330101,330101-MS,1,0.8,2021-05-07,,1
STF000112,1426768960,Gregory,Castro,RN,Registered Nurse,RN,330101,330101-PSY,1,0.8,2024-12-03,,1
STF000113,1338341728,Lacey,Mendez,RN,Registered Nurse,RN,330101,330101-LD,1,1.0,2016-05-24,,1
STF000114,1026141806,Frank,Vaughn,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2023-05-31,2026-01-06,0
STF000115,1901959279,Karen,Watson,RN,Registered Nurse,RN,330101,330101-MS,2,1.0,2024-12-30,,1
STF000116,,Robert,Campos,CNA,Certified Nursing Assistant,CNA,330101,330101-ED,1,1.0,2022-08-22,,1
STF000117,1140772747,Corey,Johnson,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2025-01-09,,1
STF000118,1301998792,Natalie,Hernandez,RN,Registered Nurse,RN,330101,330101-OPC,1,0.9,2015-04-27,,1
STF000119,1960045908,Sheri,Kennedy,RN,Registered Nurse,RN,330101,330101-SDU,1,0.8,2025-01-30,,1
STF000120,,Lisa,Duran,CNA,Certified Nursing Assistant,CNA,330101,330101-SDU,1,0.9,2015-12-08,,1
STF000121,1755491600,Kelly,Morris,RN,Registered Nurse,RN,330101,330101-PACU,1,0.6,2026-04-10,,1
STF000122,1864910898,Zachary,Smith,RN,Registered Nurse,RN,330101,330101-PEDS,1,1.0,2015-11-20,,1
STF000123,,Brian,Wood,CNA,Certified Nursing Assistant,CNA,330101,330101-ASC,1,1.0,2020-11-16,,1
STF000124,1126396560,Lisa,Mckinney,RN,Registered Nurse,RN,330101,330101-OPC,1,0.8,2025-04-24,,1
STF000125,1105590323,Michelle,Chang,RN,Registered Nurse,RN,330101,330101-CVICU,2,0.9,2019-02-14,,1
STF000126,1370068168,Sandra,Page,RN,Registered Nurse,RN,330101,330101-MS,1,0.8,2017-11-21,,1
STF000127,1748769025,Kevin,King,RN,Registered Nurse,RN,330101,330101-PEDS,1,1.0,2017-05-17,,1
STF000128,,April,Nichols,CNA,Certified Nursing Assistant,CNA,330101,330101-ED,1,0.8,2016-06-04,2025-08-03,0
STF000129,1175102944,Heather,Francis,MD,Physician,MD,330101,330101-PSY,1,1.0,2018-05-18,2026-01-07,0
STF000130,1780518034,Emily,Burgess,LPN,Licensed Practical Nurse,LPN,330101,330101-ONC,1,1.0,2025-09-14,,1
STF000131,1134640517,Catherine,Bean,RN,Registered Nurse,RN,330101,330101-PSY,1,1.0,2025-07-31,,1
STF000132,1620019411,Darrell,Davila,RN,Registered Nurse,RN,330101,330101-ED,1,0.6,2016-12-11,,1
STF000133,1482991790,Charles,Edwards,MD,Physician,MD,330101,330101-ASC,1,0.9,2017-11-24,,1
STF000134,1333718844,Jeremy,Gregory,RN,Registered Nurse,RN,330101,330101-PSY,1,0.9,2025-06-19,2025-12-24,0
STF000135,1264611067,Patricia,Mata,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2025-12-15,,1
STF000136,1820780689,Paul,Briggs,LPN,Licensed Practical Nurse,LPN,330101,330101-PACU,1,1.0,2017-11-30,2026-05-02,0
STF000137,1919373694,Andrew,Vang,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2024-01-18,,1
STF000138,,Matthew,White,RT,Respiratory Therapist,RRT,330101,330101-MS,1,1.0,2017-03-14,,1
STF000139,,Justin,Clark,RT,Respiratory Therapist,RRT,330101,330101-MICU,1,1.0,2018-02-09,,1
STF000140,,Joshua,Vance,CNA,Certified Nursing Assistant,CNA,330101,330101-OPC,1,0.6,2021-06-09,,1
STF000141,,Adam,Douglas,CNA,Certified Nursing Assistant,CNA,330101,330101-MICU,1,0.8,2017-05-13,,1
STF000142,1366140458,Richard,Meza,MD,Physician,MD,330101,330101-PSY,1,1.0,2019-08-18,,1
STF000143,1820319205,Alyssa,Logan,RN,Registered Nurse,RN,330101,330101-PACU,1,0.6,2016-02-23,2025-11-23,0
STF000144,,Maria,Estrada,CNA,Certified Nursing Assistant,CNA,330101,330101-ASC,1,1.0,2024-11-20,,1
STF000145,1129786388,Robert,Campbell,RN,Registered Nurse,RN,330101,330101-OPC,1,0.8,2023-11-11,,1
STF000146,1964120991,Karen,Orr,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2019-03-06,,1
STF000147,1846159679,Christina,Moody,RN,Registered Nurse,RN,330101,330101-OPC,2,0.8,2016-11-09,2025-09-09,0
STF000148,1376307043,Angela,Davis,RN,Registered Nurse,RN,330101,330101-SICU,1,1.0,2023-06-14,,1
STF000149,,Natalie,Warner,CNA,Certified Nursing Assistant,CNA,330101,330101-ED,2,0.9,2025-06-30,,1
STF000150,,Megan,Neal,UC,Unit Clerk,,330101,330101-SICU,2,1.0,2017-08-02,,1
STF000151,1339261790,Debra,Alvarado,RN,Registered Nurse,RN,330101,330101-LD,1,1.0,2019-11-21,,1
STF000152,,Troy,Jackson,PharmTech,Pharmacy Technician,CPhT,330101,330101-PEDS,1,0.8,2020-12-01,,1
STF000153,1573813854,Glenn,Martinez,RN,Registered Nurse,RN,330101,330101-SDU,1,0.8,2023-06-05,,1
STF000154,,Thomas,Lopez,CNA,Certified Nursing Assistant,CNA,330101,330101-PSY,1,1.0,2017-11-06,,1
STF000155,1762291692,Kimberly,Brooks,MD,Physician,MD,330101,330101-TELE,1,1.0,2017-06-06,,1
STF000156,,Kevin,White,CNA,Certified Nursing Assistant,CNA,330101,330101-LD,1,0.8,2025-10-14,,1
STF000157,,Kimberly,Conley,CNA,Certified Nursing Assistant,CNA,330101,330101-OPC,1,0.8,2021-11-17,,1
STF000158,1954113537,Michael,Johns,RPh,Pharmacist,PharmD,330101,330101-ED,1,0.8,2019-02-22,2026-05-26,0
STF000159,1984915586,Nathaniel,Thompson,RN,Registered Nurse,RN,330101,330101-MS,1,1.0,2021-09-13,,1
STF000160,,Debbie,Wood,CNA,Certified Nursing Assistant,CNA,330101,330101-SDU,1,0.9,2026-02-23,,1
STF000161,,Brent,Rose,CNA,Certified Nursing Assistant,CNA,330101,330101-TELE,2,0.8,2017-10-02,,1
STF000162,1429113853,Gina,Dalton,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2018-05-21,,1
STF000163,,Kevin,Combs,RT,Respiratory Therapist,RRT,330101,330101-SDU,1,1.0,2023-01-18,,1
STF000164,1661728373,Aaron,Davis,RN,Registered Nurse,RN,330101,330101-TELE,1,1.0,2018-07-14,,1
STF000165,1677151860,Jenna,Chavez,RPh,Pharmacist,PharmD,330101,330101-SDU,2,0.8,2023-12-16,,1
STF000166,1035328970,Luis,Marks,RN,Registered Nurse,RN,330101,330101-SICU,1,0.9,2019-01-06,,1
STF000167,1399387332,James,Hartman,RN,Registered Nurse,RN,330101,330101-PP,1,1.0,2018-02-18,,1
STF000168,1461074864,Charles,Riggs,RN,Registered Nurse,RN,330101,330101-ASC,1,1.0,2024-03-31,,1
STF000169,1643504091,Casey,Weber,RN,Registered Nurse,RN,330101,330101-LD,1,0.9,2019-03-24,,1
STF000170,,Robert,Brown,RT,Respiratory Therapist,RRT,330101,330101-CVICU,1,0.6,2020-09-04,2025-08-07,0
STF000171,1591872463,Justin,Padilla,RN,Registered Nurse,RN,330101,330101-TELE,1,0.6,2024-12-28,,1
STF000172,1276430628,Gabriel,Ward,RN,Registered Nurse,RN,330101,330101-PP,1,0.6,2025-11-21,,1
STF000173,1700942255,Fred,Rush,RN,Registered Nurse,RN,330101,330101-TELE,2,0.9,2015-09-03,,1
STF000174,1323066778,Eric,Wood,RN,Registered Nurse,RN,330101,330101-MS,1,0.6,2016-07-12,2026-07-13,0
STF000175,1504466162,Robert,Garcia,RN,Registered Nurse,RN,330101,330101-OPC,1,1.0,2016-09-28,,1
STF000176,1860461026,Anthony,Foster,LPN,Licensed Practical Nurse,LPN,330101,330101-PSY,1,0.9,2019-01-29,,1
STF000177,1459832237,Andrew,Carey,MD,Physician,MD,330101,330101-ED,1,0.6,2025-06-25,,1
STF000178,,David,Gonzalez,CNA,Certified Nursing Assistant,CNA,330101,330101-PACU,1,1.0,2023-11-21,,1
STF000179,1004328627,Nicole,Howell,RN,Registered Nurse,RN,330101,330101-PACU,1,1.0,2016-04-06,,1
STF000180,1637893787,Frances,Flores,LPN,Licensed Practical Nurse,LPN,330101,330101-TELE,1,0.8,2024-08-04,,1
STF000181,1308830166,Meredith,Graves,RN,Registered Nurse,RN,330101,330101-LD,2,0.9,2025-10-28,,1
STF000182,,Samantha,Gray,CNA,Certified Nursing Assistant,CNA,330101,330101-PEDS,1,1.0,2026-02-20,,1
STF000183,1697265203,Julie,Allen,RN,Registered Nurse,RN,330101,330101-SDU,1,1.0,2022-11-20,,1
STF000184,1304717621,Mike,Tyler,MD,Physician,MD,330101,330101-MS,1,0.9,2024-05-20,,1
STF000185,,Carl,Hill,CNA,Certified Nursing Assistant,CNA,330101,330101-PACU,1,1.0,2024-07-01,,1
STF000186,,Angela,Adams,CNA,Certified Nursing Assistant,CNA,330101,330101-OPC,1,1.0,2016-06-20,,1
STF000187,1386848197,Kelly,Spencer,RN,Registered Nurse,RN,330101,330101-MICU,1,1.0,2015-10-03,,1
STF000188,,Brianna,Sanchez,CNA,Certified Nursing Assistant,CNA,330101,330101-PEDS,1,0.8,2026-04-09,,1
STF000189,1963287876,Maria,Wilkerson,RN,Registered Nurse,RN,330101,330101-PSY,1,1.0,2022-05-16,,1
STF000190,1441307779,Manuel,Proctor,LPN,Licensed Practical Nurse,LPN,330101,330101-PP,1,0.9,2020-06-24,,1
STF000191,,Thomas,Cain,PharmTech,Pharmacy Technician,CPhT,330101,330101-ONC,1,0.6,2017-12-13,,1
STF000192,,Tiffany,Oliver,PharmTech,Pharmacy Technician,CPhT,330101,330101-MICU,1,0.9,2022-01-07,,1
STF000193,1045954334,Jessica,Phillips,RN,Registered Nurse,RN,330101,330101-PEDS,2,0.6,2018-05-23,2025-12-16,0
STF000194,1536610343,Elijah,Burns,RN,Registered Nurse,RN,330101,330101-ASC,1,1.0,2021-12-25,,1
STF000195,1430372020,Ashley,Berry,RN,Registered Nurse,RN,330101,330101-ED,1,0.6,2022-04-28,,1
STF000196,,Sean,Daniels,PharmTech,Pharmacy Technician,CPhT,330101,330101-ASC,1,1.0,2023-07-29,,1
STF000197,,Heather,Miller,CNA,Certified Nursing Assistant,CNA,330101,330101-MS,1,0.8,2022-11-11,,1
STF000198,1926273327,Jack,Watts,RN,Registered Nurse,RN,330101,330101-PSY,1,1.0,2022-10-20,,1
STF000199,,Jennifer,Mitchell,CNA,Certified Nursing Assistant,CNA,330101,330101-MICU,1,1.0,2018-12-02,,1
STF000200,1621391491,Nathaniel,Nelson,RN,Registered Nurse,RN,330101,330101-SICU,1,1.0,2015-04-08,,1
STF000201,,James,Wilcox,UC,Unit Clerk,,330101,330101-ASC,1,1.0,2024-09-13,,1
STF000202,,Catherine,Charles,CNA,Certified Nursing Assistant,CNA,330101,330101-SDU,1,0.6,2018-11-04,,1
STF000203,1188627261,Heidi,Long,RN,Registered Nurse,RN,330101,330101-SICU,1,0.9,2019-02-25,,1
STF000204,,Stephanie,Hopkins,CNA,Certified Nursing Assistant,CNA,330101,330101-PACU,1,0.8,2020-06-20,2026-06-18,0
STF000205,1292687018,Kevin,Richardson,RN,Registered Nurse,RN,330101,330101-PP,1,1.0,2022-10-14,,1
STF000206,1157077832,Andrea,Bryan,RN,Registered Nurse,RN,330101,330101-ONC,1,0.6,2023-09-30,,1
STF000207,1208671257,Rachel,Perez,RN,Registered Nurse,RN,330101,330101-LD,2,1.0,2016-01-29,,1
STF000208,,Travis,Keller,CNA,Certified Nursing Assistant,CNA,330101,330101-SDU,1,1.0,2024-12-31,,1
STF000209,1156207834,Julia,Campbell,RN,Registered Nurse,RN,330101,330101-MS,1,0.9,2018-05-26,,1
STF000210,,Adam,Rodriguez,UC,Unit Clerk,,330101,330101-PSY,1,1.0,2020-08-15,2026-05-10,0
STF000211,,Kenneth,White,CNA,Certified Nursing Assistant,CNA,330101,330101-MICU,1,1.0,2016-04-11,,1
STF000212,1136471334,Karen,Williams,RN,Registered Nurse,RN,330101,330101-PACU,1,0.8,2015-12-13,,1
STF000213,1088309462,Autumn,Lynch,LPN,Licensed Practical Nurse,LPN,330101,330101-OPC,1,1.0,2021-11-06,,1
STF000214,1183026526,Christina,Garrison,RN,Registered Nurse,RN,330101,330101-OPC,1,0.8,2026-01-17,,1
STF000215,1897704167,Karina,Wolfe,RN,Registered Nurse,RN,330101,330101-CVICU,2,1.0,2019-01-11,,1
STF000216,1033381107,Kayla,Andrews,RN,Registered Nurse,RN,330101,330101-LD,1,1.0,2023-12-09,2026-02-18,0
STF000217,1106071317,Jacqueline,Peterson,RN,Registered Nurse,RN,330101,330101-ASC,1,1.0,2020-03-12,,1
STF000218,1988050732,Kathleen,Warren,MD,Physician,MD,330101,330101-ASC,1,1.0,2024-07-26,,1
STF000219,,Charles,Gregory,RT,Respiratory Therapist,RRT,330101,330101-PACU,1,1.0,2017-01-02,,1
STF000220,,Joel,Logan,UC,Unit Clerk,,330101,330101-SDU,1,1.0,2025-11-20,,1
STF000221,1222988235,Vincent,Fields,RN,Registered Nurse,RN,330101,330101-SDU,1,0.6,2015-06-06,,1
STF000222,,Victor,Fisher,CNA,Certified Nursing Assistant,CNA,330101,330101-SDU,1,0.9,2025-06-26,,1
STF000223,1611280974,Jared,Coleman,RN,Registered Nurse,RN,330101,330101-SICU,1,1.0,2024-06-12,,1
STF000224,1620978338,Fred,Nguyen,RN,Registered Nurse,RN,330101,330101-PACU,1,1.0,2017-11-04,2026-04-30,0
STF000225,1938285657,Curtis,Beck,PA,Physician Assistant,PA-C,330101,330101-OPC,2,1.0,2018-04-12,,1
STF000226,1523703165,Sara,Lee,RN,Registered Nurse,RN,330101,330101-PACU,1,1.0,2018-11-19,,1
STF000227,1874582428,Melissa,Cook,MD,Physician,MD,330101,330101-ED,1,1.0,2025-01-21,,1
STF000228,1927099096,Samantha,Reese,RN,Registered Nurse,RN,330101,330101-PEDS,1,0.8,2024-02-05,,1
STF000229,,Jennifer,Wilson,CNA,Certified Nursing Assistant,CNA,330101,330101-TELE,1,0.9,2022-11-29,,1
STF000230,1372895130,Tanya,Stone,LPN,Licensed Practical Nurse,LPN,330101,330101-PSY,1,1.0,2021-02-17,,1
STF000231,1355140058,Troy,Levine,RN,Registered Nurse,RN,330101,330101-ED,1,0.6,2015-07-23,,1
